Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Partiliste;347
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Sebastian Schwartz;3
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Jeppe Bruus;34
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Morten Bødskov;24
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Maria Durhuus;21
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Maria Gudme;0
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Kasper Sand Kjær;4
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Mattias Tesfaye;109
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Gunvor Wibroe;5
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Partiliste;137
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Sofie Carsten Nielsen;72
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Stinus Lindgreen;50
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Kashif Ahmad;8
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Christina Rittig Falkberg;31
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Brian Køster;5
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Abbas Razvi;1
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Esat Sentürk;0
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Hediye Temiz;3
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Partiliste;359
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Rasmus Jarlov;314
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Britt Bager;94
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Hanne Bjørn;10
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Magnus Von Dreiager;3
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Tina Cartey Hansen;4
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Michael R. Rugaard;4
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Merete Scheelsbeck;15
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Henrik Sørensen;2
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Partiliste;77
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Ulla Kokfelt;5
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Thomas Bentsen;2
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Alberte Rasmussen;3
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Claus Bøgh Svenningsen;2
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Partiliste;187
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Serdal Benli;13
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Vivi Nør Jacobsen;14
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Sigurd Agersnap;20
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Rasmus Henriksen;1
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Sofie F. Villadsen;24
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Niels Haxthausen;8
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Troels Stru Schmidt;5
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Alexander Bruhn Skjøth;0
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Partiliste;547
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Steffen Larsen;37
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Simon Karim Helledie;11
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Peter Loft;98
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Søren Schmidt-Andersen;1
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;David Ibsen;0
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Jørgen Juhl;0
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Louise Siv Ebbesen;20
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Danny Malkowski;8
Gentoftekredsen;1. Jægersborg;K;KD - Kristendemokraterne;Partiliste;7
Gentoftekredsen;1. Jægersborg;K;KD - Kristendemokraterne;Elif Demir Gökce;1
Gentoftekredsen;1. Jægersborg;K;KD - Kristendemokraterne;Bolette von Westphal;0
Gentoftekredsen;1. Jægersborg;K;KD - Kristendemokraterne;Esben Frette Johnsen;0
Gentoftekredsen;1. Jægersborg;K;KD - Kristendemokraterne;Johnnie V. Gregersen;0
Gentoftekredsen;1. Jægersborg;M;Moderaterne;Partiliste;504
Gentoftekredsen;1. Jægersborg;M;Moderaterne;Monika Rubin;89
Gentoftekredsen;1. Jægersborg;M;Moderaterne;Lars Arne Christensen;24
Gentoftekredsen;1. Jægersborg;M;Moderaterne;Rasmus Lund-Nielsen;39
Gentoftekredsen;1. Jægersborg;M;Moderaterne;Ammar Ali;8
Gentoftekredsen;1. Jægersborg;M;Moderaterne;Rasmus Skindbjerg Hinrichs;4
Gentoftekredsen;1. Jægersborg;M;Moderaterne;Anastasia Valentin Rasmussen;12
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Partiliste;14
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Rita Rahbek Russell;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Michael Jensen;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Lars Prier;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Morten Messerschmidt;64
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Mikkel Dencker;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Cecilie Winther Kristensen;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Susanne Damsgaard;1
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Michael Pihl;0
Gentoftekredsen;1. Jægersborg;Q;Frie Grønne;Partiliste;17
Gentoftekredsen;1. Jægersborg;Q;Frie Grønne;Sabrina Raaschou Brammer;3
Gentoftekredsen;1. Jægersborg;Q;Frie Grønne;Asham Agha Nadeem;2
Gentoftekredsen;1. Jægersborg;Q;Frie Grønne;Aqeel Akhtar;0
Gentoftekredsen;1. Jægersborg;Q;Frie Grønne;Nour El Zeftawy;2
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Partiliste;465
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Karen Ellemann;366
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Anders Bo Larsen;7
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Lennart Hartmann Nielsen;3
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Casper Pedersen;4
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Mathias Rinaldo;0
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Astrid Søborg;20
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Kim Valentin;39
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Ricki Vejsmose;1
Gentoftekredsen;1. Jægersborg;Æ;Danmarksdemokraterne;Partiliste;54
Gentoftekredsen;1. Jægersborg;Æ;Danmarksdemokraterne;Charlotte Munch;3
Gentoftekredsen;1. Jægersborg;Æ;Danmarksdemokraterne;Michael Rosenmark;0
Gentoftekredsen;1. Jægersborg;Æ;Danmarksdemokraterne;Mette Qwinten;1
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Partiliste;110
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Søren Søndergaard;25
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Tobias Clausen;4
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Necla Baran;2
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Mathilde Vinther;10
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Helge Bo Jensen;1
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Stefan Rundstrøm;1
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Stine Rahbek Pedersen;7
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Partiliste;97
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Thomas Anker;7
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Sofie Groth;28
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Qasam Nazir Ahmad;2
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Irina Bjørnø;0
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Jesper Callesen;1
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Ulla Sandbæk;10
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Thomas Lindqvist;1
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Bitten Vivi Jensen;0
Gentoftekredsen;1. Jægersborg;(Uden for parti);(Uden for parti);Henrik Vendelbo Petersen;0
Gentoftekredsen;1. Jægersborg;(Uden for parti);(Uden for parti);Jovan Tasevski;1
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Partiliste;437
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Sebastian Schwartz;21
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Jeppe Bruus;100
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Morten Bødskov;46
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Maria Durhuus;14
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Maria Gudme;7
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Kasper Sand Kjær;4
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Mattias Tesfaye;110
Gentoftekredsen;2. Munkegård;A;Socialdemokratiet;Gunvor Wibroe;16
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Partiliste;125
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Sofie Carsten Nielsen;75
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Stinus Lindgreen;64
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Kashif Ahmad;7
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Christina Rittig Falkberg;34
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Brian Køster;15
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Abbas Razvi;0
Gentoftekredsen;2. Munkegård;B;Radikale Venstre;Esat Sentürk;5
