Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Partiliste;1028
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Henrik Møller;719
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Fie Hækkerup;56
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Miki Dam Larsen;24
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Louise Mehnke;60
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Matilde Powers;20
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Rasmus Stoklund;30
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Partiliste;75
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Christian Holm Donatzky;66
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Martin Lidegaard;96
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Tine Hessner;3
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Christina Thorholm;11
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Jacob Netteberg;5
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Maria Katarina Nielsen;4
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Partiliste;183
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Birgitte Bergman;135
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Mette Abildgaard;40
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Nikolaj Frederiksen;2
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Emma Juul Hansen;16
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Egil Hulgaard;4
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Christoffer Buster Reinhardt;10
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Niels Martin Viuff;3
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Partiliste;137
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Mette Thiesen;76
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Per Olsen;6
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Claus Bruncke;1
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Søren Højbjerg;3
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Søren Regenberg;0
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Carsten Winther;0
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Partiliste;363
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Peter Westermann;54
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Marianne Bigum;69
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Marianne Stannum;10
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Silje Brynildsen;31
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Jens Skov;1
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Stefan B. Skrubbeltrang;7
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Partiliste;387
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Steffen W. Frølund;24
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Kim Bjørnstrup;13
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Lars Høyer Holmqvist;20
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Steffen Sjørslev;1
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Marianne Porsborg;6
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Robert Mørck;3
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Kira Danholm;3
Helsingørkredsen;1. Helsingør Hallen;I;Liberal Alliance;Josephine Svane;15
