Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Partiliste;516
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Benny Engelbrecht;650
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Niels Ole Beck;18
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Tommi Christensen;2
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Kim Eskesen;1
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Barbara Krarup Hansen;10
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Theis Kylling Hommeltoft;6
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Anders Kronborg;6
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Bjørn Laursen;1
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Christian Rabjerg Madsen;6
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Jesper Petersen;38
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Kris Jensen Skriver;2
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Jens Jonatan Steen;1
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Birgitte Vind;7
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Partiliste;14
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Lasse Skov Ovesen;0
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Lotte Rod;15
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Nils Sjøberg;3
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Ole Lynggaard Jørgensen;0
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Anne Marie Geisler Andersen;3
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Bjarne Lastein;0
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Finn Hartvig Nielsen;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Partiliste;50
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Niels Flemming Hansen;4
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Rasmus Dahlberg;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Rasmus Elkjær Larsen;2
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Jesper Højmark Esbensen;15
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Steffen Hansen;1
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Steen Holm Iversen;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Birgitte Klippert;3
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Dan Foss Kragh;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Christian Lorenzen;2
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Casper Nørgaard Maglekær;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Frederik Bloch Münster;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Kirsten Hassing Nielsen;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Rikke Norlyk;1
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Rasmus Sandvej;0
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Dorthe Schmittroth;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Partiliste;95
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Pernille Vermund;158
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Bo Kleis Christensen;19
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Tom Andkjær;4
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Karsten Byrgesen;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Rune Bønnelykke;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Jan Køpke Christensen;3
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Kim Andkjær Doberck;1
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Hans-Christian Gjerlevsen;1
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Henrik Husted;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Marianne Mathiesen;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Thomas Vedsted;0
Sønderborgkredsen;1. Nordborg;F;SF - Socialistisk Folkeparti;Partiliste;54
Sønderborgkredsen;1. Nordborg;F;SF - Socialistisk Folkeparti;Nanna Bonde;28
Sønderborgkredsen;1. Nordborg;F;SF - Socialistisk Folkeparti;Christian Mutwa Christensen;1
