Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Partiliste;955
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Pernille Rosenkrantz-Theil;187
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Yildiz Akdogan;60
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Ida Auken;215
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Halima El Abassi;10
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Jarl Feyling;2
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Peter Hummelgaard;94
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Lone Larsen;4
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Jørgen Mørup Pedersen;2
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Nikoline Prehn;13
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Lars Aslan Rasmussen;47
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Mette Reissmann;69
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Lars Werge;7
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Partiliste;417
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Marie Kampmann;23
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Samira Nawa;145
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Ruben Kidde;56
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Klaus Bondam;25
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Clara Halvorsen;34
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Thomas Rohden;76
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Jes Vissing Tiedemann;8
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Emilie Normann;7
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Carolina Magdalene Maier;24
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Michael Rachlin;7
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Peter Zinckernagel;1
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Anders Højsted;0
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Partiliste;300
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Helle Bonnesen;96
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Katarina Ammitzbøll;28
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Allan Beier;6
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Nikolaj Bøgh;19
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Rico Djernis;0
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Helle Jønch;2
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Anders Havelund Krøyer;13
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Nicola Emily Larsen;13
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Laura Lindahl;28
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Martin Wood Pedersen;1
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Peter Stakemann;3
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Casper Øhlers;11
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Partiliste;103
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Niels Peder Ravn;24
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Henrik Ræder Clausen;0
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Daniel Pinderup;2
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Ketil Wathne Rasmussen;2
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Denise Rostgaard;4
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Partiliste;542
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Pia Olsen Dyhr;408
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Lisbeth Bech-Nielsen;66
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Carl Valentin;48
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Halime Oguz;26
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Balder Mørk Andersen;8
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Andreas Bæk;11
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Melissa Skovgaard Jensen;6
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Line Petersen;8
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Klaus Mygind;7
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Peder Holk Svendsen;2
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Sadek Al-Amood;2
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Cecilie Louise Balbay Holdt;14
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Partiliste;813
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Ole Birk Olesen;117
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Charlotte Nellemann;21
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Alexander Ryle;43
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Hira Nadeem;15
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Martin Sibast Laugesen;12
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Joanne Bywater;15
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Per Nørgaard Andersen;5
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Claus Willén;3
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Christian Riegels Hjorth;2
Østerbrokredsen;1. 1. Østerbro;K;KD - Kristendemokraterne;Partiliste;15
Østerbrokredsen;1. 1. Østerbro;K;KD - Kristendemokraterne;Jesper Housgaard;1
Østerbrokredsen;1. 1. Østerbro;K;KD - Kristendemokraterne;Jacob Bang;3
Østerbrokredsen;1. 1. Østerbro;K;KD - Kristendemokraterne;Tina Mørk;3
Østerbrokredsen;1. 1. Østerbro;K;KD - Kristendemokraterne;Nanna Bock;0
Østerbrokredsen;1. 1. Østerbro;K;KD - Kristendemokraterne;Gunnar Bjørn Thomsen;1
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Partiliste;825
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Jon Stephensen;58
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Lean Milo;45
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Nanna W. Gotfredsen;58
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Louise Davidsen;11
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Marina Andersen;8
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Johan Kahl;24
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Lars Philipsen Prahm;6
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Jørgen Kjøller;2
Østerbrokredsen;1. 1. Østerbro;M;Moderaterne;Ellen Emilie;31
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Partiliste;73
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Kenneth Kristensen Berth;9
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Brian Bruun;0
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Paw Karslund;1
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Helene Brix;3
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Jannie Bøgh;1
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;John Bo Hansen;0
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Partiliste;23
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Elise Bjerkrheim;2
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Sikandar Siddique;38
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Rajesh Holmen;1
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Rashid Ali;0
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Sazan Garmiyani;2
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Daniel Tomicic;0
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Elena Bjerregaard Ryan;0
Østerbrokredsen;1. 1. Østerbro;Q;Frie Grønne;Iben Kirstine Parmann;1
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Partiliste;588
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Linea Søgaard-Lidell;147
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;René Bredal;3
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Claus Buch;7
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Anders Fausbøll;15
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Martin Geertsen;27
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Jan E. Jørgensen;90
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Michael Lange;9
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Anne Rasmussen;3
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Bo Sandroos;2
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Alexandra Sasha;55
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Sven Aage Schlosrich;0
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Søren Sørensen;0
Østerbrokredsen;1. 1. Østerbro;Æ;Danmarksdemokraterne;Partiliste;68
Østerbrokredsen;1. 1. Østerbro;Æ;Danmarksdemokraterne;Claus Gisselmann;7
Østerbrokredsen;1. 1. Østerbro;Æ;Danmarksdemokraterne;Therese Skaarup;8
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Partiliste;535
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;David Rønne;15
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Pelle Dragsted;281
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Rosa Lund;178
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Jette Gottlieb;18
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Leila Stockmarr;22
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Ibrahim Benli;12
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Louis Jacobsen;13
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Anna Berg;3
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Clara Turms;28
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Emil Samaras;11
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Mette Bloch Hansen;3
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Dorthe Hecht;2
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Partiliste;402
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Franciska Rosenkilde;318
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Troels Chr. Jakobsen;8
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Christina Olumeko;50
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Jonathan Ries;8
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Birgitte Kehler Holst;10
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Jan Kristoffersen;6
Østerbrokredsen;1. 1. Østerbro;Å;Alternativet;Mette Bram;13
