Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Partiliste;84
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Kasper Roug;88
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Kaare Dybvad Bek;3
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Brian Bressendorff;0
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Frederik Enevoldsen;0
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Mette Gjerskov;4
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Magnus Heunicke;10
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Thorkild Holmboe-Hay;2
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Jeppe Kofod;1
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Astrid Krag;5
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Rasmus Horn Langhoff;2
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Tanja Larsson;0
Lollandkredsen;1. Errindlev;A;Socialdemokratiet;Frederik Vad;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Partiliste;2
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Kristian Stokholm;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Zenia Stampe;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Anne Sophie Callesen;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Edris Qasimi;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Line Krogh Lay;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Hikmet Altun;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Troels Brandt;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Lukas Lunøe;0
Lollandkredsen;1. Errindlev;B;Radikale Venstre;Jeppe Trolle;0
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Partiliste;10
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Claus Dyremose;4
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Mads C. Andersen;0
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Brigitte Klintskov Jerkel;0
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Andreas Karlsen;0
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Annette Juhler Kjær;0
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Rune Kristensen;1
Lollandkredsen;1. Errindlev;C;Det Konservative Folkeparti;Camillo Krog;0
