Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Partiliste;409
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Bjarne Laustsen;506
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Mette Frederiksen;926
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Ane Halsboe-Jørgensen;52
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Per Husted;1
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Morten Klessen;5
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Simon Kollerup;18
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Flemming Møller Mortensen;13
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Rasmus Prehn;9
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Morten Ryom;13
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Partiliste;17
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Dorthe Kerschus;1
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Daniel Nyboe Andersen;4
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Bjarne Axelsen;1
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Christian Friis Bach;12
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Charlotte Amdi Burgess;0
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Pia Elberg;1
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Steffen Holme Helledie;1
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Julius Bjørn Honoré;1
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Partiliste;84
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Per Larsen;52
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Lene Burchardt;7
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Mikkel Højsleth;1
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Lene Brix Kjelgaard Jensen;1
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Mette Jensen;3
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Jens-Henrik Kirk;2
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Alexander Klitgaard;2
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Jakob Axel Nielsen;19
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Karsten Skov Petersen;0
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Mia Tang;6
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Partiliste;87
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Kim Edberg Andersen;79
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;John Bjerg;2
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Brian Nielsen;3
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Sysser Nørholm;8
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Lars Rem;1
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Partiliste;83
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Theresa Berg Andersen;18
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Melina Andersen;8
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Benjamin Jørgensen;29
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Thorkil Olesen;0
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Thomas Kjeldsen;1
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Dorte M. Nielsen;1
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Lasse Hjorthøj Jensen;0
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Henning Jørgensen;0
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Peder Larsen;1
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Partiliste;207
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Sólbjørg Jakobsen;39
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;HP Beck;3
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Bo Ritterbusch;6
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Kenneth Skatka Hammer;3
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Michel Thrysøe;1
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Hans-Henning Terp-Hansen;1
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Jonas Jensen;1
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Victor Horsted;1
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Ronny Van Tieu;1
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Martin Bech;2
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Agnethe Benedikt Mørch;0
Frederikshavnkredsen;1. Skagen;K;KD - Kristendemokraterne;Partiliste;8
Frederikshavnkredsen;1. Skagen;K;KD - Kristendemokraterne;Jørgen Bjerregaard;0
Frederikshavnkredsen;1. Skagen;K;KD - Kristendemokraterne;Karlo Brondbjerg;1
Frederikshavnkredsen;1. Skagen;K;KD - Kristendemokraterne;Britta Eckhardt;0
Frederikshavnkredsen;1. Skagen;K;KD - Kristendemokraterne;Anne-Marie Jørgensen;0
Frederikshavnkredsen;1. Skagen;K;KD - Kristendemokraterne;Peter Scheining;0
Frederikshavnkredsen;1. Skagen;M;Moderaterne;Partiliste;254
Frederikshavnkredsen;1. Skagen;M;Moderaterne;Kristian Klarskov;57
Frederikshavnkredsen;1. Skagen;M;Moderaterne;Mohammad Rona;8
Frederikshavnkredsen;1. Skagen;M;Moderaterne;Dina Mofidi;5
Frederikshavnkredsen;1. Skagen;M;Moderaterne;Rikke Pedersen;3
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Partiliste;85
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Nana Harring;21
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Christian Langballe;7
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Per Michael Hauritz;2
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Kasper Sørmer-Sørensen;0
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Carsten Ullmann Andersen;3
Frederikshavnkredsen;1. Skagen;Q;Frie Grønne;Partiliste;2
