Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Partiliste;1117
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Nicolai Wammen;461
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Camilla Fabricius;126
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Dorthe Hindborg;15
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Daniel Toft Jakobsen;25
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Leif Lahn Jensen;19
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Jens Joel;178
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Malte Larsen;5
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Thomas Monberg;5
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Thyge Risvig;0
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Iben Sønderup;4
Aarhus Sydkredsen;1. Frederiksbjerghallerne;A;Socialdemokratiet;Anna Thusgård;103
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Partiliste;600
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Susan Kronborg;68
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Mia Nybo;61
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Katrine Robsøe;279
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Hanne Roed;21
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Andreas Steenberg;77
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Frederik Aagaard Sørensen;58
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Rune Christiansen;49
Aarhus Sydkredsen;1. Frederiksbjerghallerne;B;Radikale Venstre;Rebecca Marie Johansson;16
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Partiliste;295
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Marcus Knuth;64
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Isabella Arendt;56
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Lotte Friis Böing;13
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Kristian Damsgaard;6
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Charlotte Green;22
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Frederikke Noa Jung;3
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Mona Juul;112
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Anders Krojgaard Lund;4
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Klaus Nyengaard;2
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Per Urban Olsen;3
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Heidi Printzen;12
Aarhus Sydkredsen;1. Frederiksbjerghallerne;C;Det Konservative Folkeparti;Søren Vanting;2
Aarhus Sydkredsen;1. Frederiksbjerghallerne;D;Nye Borgerlige;Partiliste;50
Aarhus Sydkredsen;1. Frederiksbjerghallerne;D;Nye Borgerlige;Lars Boje Mathiesen;60
Aarhus Sydkredsen;1. Frederiksbjerghallerne;D;Nye Borgerlige;Inger-Marie Tryde;0
Aarhus Sydkredsen;1. Frederiksbjerghallerne;D;Nye Borgerlige;Jes Halfdan;3
Aarhus Sydkredsen;1. Frederiksbjerghallerne;D;Nye Borgerlige;Karina Kirk;2
Aarhus Sydkredsen;1. Frederiksbjerghallerne;D;Nye Borgerlige;Jens K. Lundager;0
Aarhus Sydkredsen;1. Frederiksbjerghallerne;D;Nye Borgerlige;Lars Axel Nielsen;0
Aarhus Sydkredsen;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Partiliste;894
Aarhus Sydkredsen;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Kirsten Normann Andersen;244
Aarhus Sydkredsen;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Charlotte Broman Mølbæk;50
Aarhus Sydkredsen;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Rasmus Nordqvist;54
Aarhus Sydkredsen;1. Frederiksbjerghallerne;F;SF - Socialistisk Folkeparti;Sofie Lippert;117
