parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,20.2,26.8
Radikale Venstre,Radikale Venstre,3.0,
Det Konservative Folkeparti,Det Konservative Folkeparti,3.2,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,8.7,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,3.0,
LA,Liberal Alliance,8.8,9.8
M,Moderaterne,7.8,8.7
DF,Dansk Folkeparti,7.8,2.0
UP,Udenfor parti,0.0,0.1
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",13.2,
ALT,Alternativet,3.8,3.8
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,13.7,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,6.8,
