parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,10.0,23.9
Radikale Venstre,Radikale Venstre,7.1,
Det Konservative Folkeparti,Det Konservative Folkeparti,12.5,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,7.8,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,2.3,
LA,Liberal Alliance,17.8,9.4
M,Moderaterne,13.0,11.8
DF,Dansk Folkeparti,8.7,2.6
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",11.9,
ALT,Alternativet,2.6,3.3
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,2.9,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,3.3,
