parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,28.5,34.2
R,Radikale,2.9,2.4
K,Konservative,5.1,4.4
SF,SF,8.4,5.7
BP,Borgernes Parti,2.6,
LA,Liberal Alliance,9.1,7.1
M,Moderaterne,4.9,6.3
DF,Dansk Folkeparti,6.9,1.9
V,Venstre,13.3,14.0
ALT,Alternativet,1.2,1.9
DD,Danmarksdemokraterne,14.1,15.2
EL,Enhedslisten,3.0,3.0
