parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,15.4,19.0
R,Radikale,11.9,7.5
K,Konservative,9.1,5.0
SF,SF,13.2,11.5
BP,Borgernes Parti,0.8,
LA,Liberal Alliance,8.1,8.4
M,Moderaterne,8.2,9.5
DF,Dansk Folkeparti,5.5,1.6
UP,Udenfor parti,0.4,0.2
V,Venstre,3.7,8.4
ALT,Alternativet,6.6,9.4
DD,Danmarksdemokraterne,0.7,1.8
EL,Enhedslisten,16.3,13.8
