id,navn,stemmeseddel_navn,parti,storkreds,opstillingskredse
d93cd1af-f218-4626-88fe-cb0de047967d,Sarah Nørris Christensen,Sarah Nørris,Enhedslisten,Sydjylland,"['Vejen', 'Sønderborg', 'Fredericia', 'Kolding Syd', 'Kolding Nord', 'Vejle Syd', 'Esbjerg Omegn', 'Aabenraa', 'Varde', 'Tønder', 'Vejle Nord', 'Haderslev', 'Esbjerg By']"
e1442a22-64b8-483e-81ab-ff66e663a85f,Benny Dragsgaard Dall,Benny Dall,Enhedslisten,Sydjylland,"['Fredericia', 'Kolding Syd', 'Esbjerg By', 'Haderslev', 'Esbjerg Omegn', 'Tønder', 'Varde', 'Vejle Syd', 'Vejle Nord', 'Aabenraa', 'Vejen', 'Kolding Nord', 'Sønderborg']"
e25e460a-43f0-4c40-964b-3b4109d26045,Holly Marie Lønne Turner,Holly Marie Turner,Enhedslisten,Sydjylland,"['Esbjerg By', 'Fredericia', 'Kolding Syd', 'Sønderborg', 'Tønder', 'Vejle Syd', 'Esbjerg Omegn', 'Vejen', 'Aabenraa', 'Kolding Nord', 'Haderslev', 'Varde', 'Vejle Nord']"
1c946af7-0618-4a6c-aac8-5824fa08955c,Hans Biering Fonsbøl,Hans Biering Fonsbøl,Alternativet,Sydjylland,"['Aabenraa', 'Varde', 'Fredericia', 'Kolding Nord', 'Haderslev', 'Tønder', 'Esbjerg Omegn', 'Esbjerg By', 'Sønderborg', 'Vejen', 'Vejle Syd', 'Kolding Syd', 'Vejle Nord']"
1d1c0756-d329-4bf5-946d-d3d4ac98f13f,Coco Mette Cecilie Kjærgaard,Coco Mette Cecilie Kjærgaard,Alternativet,Sydjylland,"['Varde', 'Fredericia', 'Haderslev', 'Vejle Nord', 'Vejen', 'Kolding Nord', 'Kolding Syd', 'Sønderborg', 'Esbjerg Omegn', 'Tønder', 'Vejle Syd', 'Aabenraa', 'Esbjerg By']"
3f8532ef-af2e-49ab-8fd9-a4aa9312e99e,Ane Line Søndergaard,Ane Line Søndergaard,Alternativet,Sydjylland,"['Tønder', 'Vejen', 'Esbjerg Omegn', 'Sønderborg', 'Esbjerg By', 'Aabenraa', 'Fredericia', 'Haderslev', 'Vejle Syd', 'Kolding Nord', 'Varde', 'Kolding Syd', 'Vejle Nord']"
56660f4f-9482-4d66-88b8-a803fa2e5e49,Bodil Nielsen,Bodil Nielsen,Alternativet,Sydjylland,"['Esbjerg Omegn', 'Sønderborg', 'Vejle Syd', 'Vejle Nord', 'Esbjerg By', 'Haderslev', 'Tønder', 'Kolding Syd', 'Vejen', 'Fredericia', 'Varde', 'Kolding Nord', 'Aabenraa']"
679f5b31-67db-46b4-a488-c462cfd5850c,Astrid Reese Fogh,Astrid Fogh,Alternativet,Sydjylland,"['Sønderborg', 'Aabenraa', 'Haderslev', 'Vejle Syd', 'Esbjerg Omegn', 'Tønder', 'Kolding Syd', 'Vejen', 'Vejle Nord', 'Kolding Nord', 'Fredericia', 'Esbjerg By', 'Varde']"
6beaae36-a727-4d6b-ae56-d5415e92b3dc,Hans Mikael Hertig,Mikael Hertig,Alternativet,Sydjylland,"['Tønder', 'Vejle Nord', 'Sønderborg', 'Esbjerg Omegn', 'Varde', 'Esbjerg By', 'Vejle Syd', 'Vejen', 'Haderslev', 'Kolding Nord', 'Kolding Syd', 'Fredericia', 'Aabenraa']"
8117415e-4f44-4c93-b7eb-47466c413a62,Carsten Sohl,Carsten Sohl,Alternativet,Sydjylland,"['Esbjerg Omegn', 'Haderslev', 'Aabenraa', 'Kolding Syd', 'Fredericia', 'Esbjerg By', 'Vejle Syd', 'Vejle Nord', 'Tønder', 'Vejen', 'Varde', 'Sønderborg', 'Kolding Nord']"
cadf671f-a7e6-4bf6-889c-033a1bd9ce76,Edvard Korsbæk,Edvard Korsbæk,Alternativet,Sydjylland,"['Haderslev', 'Esbjerg By', 'Fredericia', 'Kolding Syd', 'Kolding Nord', 'Esbjerg Omegn', 'Vejen', 'Vejle Nord', 'Aabenraa', 'Sønderborg', 'Vejle Syd', 'Tønder', 'Varde']"
d48a0bdb-cf5d-4d94-910e-f526901232e8,Mikael Winther,Mikael Winther,Alternativet,Sydjylland,"['Tønder', 'Haderslev', 'Sønderborg', 'Esbjerg By', 'Vejle Nord', 'Vejle Syd', 'Aabenraa', 'Fredericia', 'Esbjerg Omegn', 'Varde', 'Vejen', 'Kolding Nord', 'Kolding Syd']"
f2accca0-7949-49b5-b597-19a91c993d52,Bo Nielsen,Bo Nielsen,Alternativet,Sydjylland,"['Fredericia', 'Kolding Syd', 'Vejle Syd', 'Vejle Nord', 'Aabenraa', 'Varde', 'Esbjerg By', 'Vejen', 'Esbjerg Omegn', 'Kolding Nord', 'Sønderborg', 'Tønder', 'Haderslev']"
10265942-527f-497f-a4e5-0e42e53548de,Trine Birk Andersen,Trine Birk Andersen,Socialdemokratiet,Sjælland,"['Kalundborg', 'Vordingborg', 'Slagelse', 'Faxe', 'Greve', 'Roskilde', 'Ringsted', 'Køge', 'Holbæk', 'Guldborgsund', 'Lolland', 'Næstved']"
36940374-2891-4bc8-ad7d-75102339bef4,Julie Kølskov Madsen,Julie Kølskov,Socialdemokratiet,Sjælland,"['Køge', 'Holbæk', 'Ringsted', 'Lolland', 'Roskilde', 'Greve', 'Kalundborg', 'Slagelse', 'Faxe', 'Guldborgsund', 'Vordingborg', 'Næstved']"
48099ab8-eaa7-450e-b4ab-4427d8b9a0a8,Kasper Roug,Kasper Roug,Socialdemokratiet,Sjælland,"['Guldborgsund', 'Holbæk', 'Kalundborg', 'Lolland', 'Køge', 'Greve', 'Roskilde', 'Vordingborg', 'Slagelse', 'Faxe', 'Ringsted', 'Næstved']"
575f0bce-8687-4b23-9adc-7e92c59fdf92,Kaare Dybvad Bek,Kaare Dybvad Bek,Socialdemokratiet,Sjælland,"['Lolland', 'Næstved', 'Slagelse', 'Roskilde', 'Kalundborg', 'Holbæk', 'Køge', 'Vordingborg', 'Guldborgsund', 'Faxe', 'Greve', 'Ringsted']"
59324198-5cb2-45d0-8071-9985a9203de3,Filiz Sarah Thunø,Filiz Sarah Thunø,Socialdemokratiet,Sjælland,"['Lolland', 'Ringsted', 'Faxe', 'Næstved', 'Holbæk', 'Slagelse', 'Køge', 'Greve', 'Roskilde', 'Vordingborg', 'Guldborgsund', 'Kalundborg']"
5e29d40d-7127-40b7-9750-651ffcc668be,Tanja Pedersen Larsson,Tanja Larsson,Socialdemokratiet,Sjælland,"['Roskilde', 'Holbæk', 'Faxe', 'Slagelse', 'Guldborgsund', 'Greve', 'Næstved', 'Kalundborg', 'Vordingborg', 'Ringsted', 'Køge', 'Lolland']"
720e060b-9314-462f-9418-270c6228a6a5,Rasmus Horn Langhoff,Rasmus Horn Langhoff,Socialdemokratiet,Sjælland,"['Kalundborg', 'Faxe', 'Slagelse', 'Lolland', 'Guldborgsund', 'Køge', 'Holbæk', 'Roskilde', 'Næstved', 'Ringsted', 'Vordingborg', 'Greve']"
a238bb65-5e77-421f-b409-ab0f2fd6a333,Frederik Vad,Frederik Vad,Socialdemokratiet,Sjælland,"['Holbæk', 'Lolland', 'Køge', 'Vordingborg', 'Roskilde', 'Kalundborg', 'Slagelse', 'Ringsted', 'Faxe', 'Guldborgsund', 'Greve', 'Næstved']"
ad8f41ea-4b31-4d1a-9165-062ed7b1e8bf,Valdemar Hvidberg Alban,Valdemar Alban,Socialdemokratiet,Sjælland,"['Faxe', 'Køge', 'Slagelse', 'Lolland', 'Vordingborg', 'Næstved', 'Roskilde', 'Holbæk', 'Greve', 'Ringsted', 'Kalundborg', 'Guldborgsund']"
bfa3f7e1-e5d2-4879-a7b0-bca6aec74b37,Magnus Johannes Heunicke,Magnus Heunicke,Socialdemokratiet,Sjælland,"['Kalundborg', 'Vordingborg', 'Guldborgsund', 'Ringsted', 'Roskilde', 'Faxe', 'Slagelse', 'Køge', 'Næstved', 'Greve', 'Holbæk', 'Lolland']"
cc43cca2-2607-4084-b88d-56ba802746d2,Carl Emil Lind Christensen,Carl Emil Lind,Socialdemokratiet,Sjælland,"['Slagelse', 'Ringsted', 'Kalundborg', 'Vordingborg', 'Lolland', 'Holbæk', 'Roskilde', 'Næstved', 'Faxe', 'Køge', 'Greve', 'Guldborgsund']"
ee2f3b28-7fe1-4e46-91ec-61486c92e630,Kanishka Dastageer,Kanishka Dastageer,Socialdemokratiet,Sjælland,"['Vordingborg', 'Køge', 'Faxe', 'Kalundborg', 'Lolland', 'Holbæk', 'Næstved', 'Ringsted', 'Greve', 'Roskilde', 'Slagelse', 'Guldborgsund']"
27e120b3-8bdb-45a2-bb01-d6e5796805c9,Jeppe Rohde Fransson,Jeppe Fransson,Radikale,Sjælland,"['Næstved', 'Guldborgsund', 'Slagelse', 'Vordingborg', 'Ringsted', 'Roskilde', 'Faxe', 'Køge', 'Greve', 'Lolland', 'Kalundborg', 'Holbæk']"
63218810-4634-4eb2-98d1-dbc81cbfae98,Zenia Stampe Lyngbo,Zenia Stampe,Radikale,Sjælland,"['Guldborgsund', 'Greve', 'Næstved', 'Slagelse', 'Lolland', 'Roskilde', 'Ringsted', 'Kalundborg', 'Faxe', 'Køge', 'Vordingborg', 'Holbæk']"
6332c52b-0e3b-432a-ab2c-845c13c22969,Edris Qasimi,Edris Qasimi,Radikale,Sjælland,"['Faxe', 'Næstved', 'Greve', 'Lolland', 'Vordingborg', 'Kalundborg', 'Ringsted', 'Køge', 'Holbæk', 'Roskilde', 'Slagelse', 'Guldborgsund']"
9b3c38df-2e3b-4d99-ab0d-9a31743548ea,Mette Hvid Brockmann,Mette Hvid Brockmann,Radikale,Sjælland,"['Køge', 'Slagelse', 'Faxe', 'Næstved', 'Greve', 'Guldborgsund', 'Holbæk', 'Kalundborg', 'Roskilde', 'Vordingborg', 'Ringsted', 'Lolland']"
db3e6701-64bf-4b03-8ba4-aac3de9bbbd6,Helena Tjørnelund Christensen,Helena Tjørnelund Christensen,Radikale,Sjælland,"['Roskilde', 'Ringsted', 'Slagelse', 'Holbæk', 'Kalundborg', 'Køge', 'Næstved', 'Greve', 'Lolland', 'Guldborgsund', 'Vordingborg', 'Faxe']"
e4ca7e21-760c-4638-b18b-8a89081c1f9c,Jeppe Trolle,Jeppe Trolle,Radikale,Sjælland,"['Lolland', 'Næstved', 'Slagelse', 'Køge', 'Kalundborg', 'Greve', 'Vordingborg', 'Roskilde', 'Ringsted', 'Holbæk', 'Faxe', 'Guldborgsund']"
e673e917-1724-4458-9e06-87a1c3dbd531,Line Krogh Lay Christensen,Line Krogh Lay,Radikale,Sjælland,"['Roskilde', 'Næstved', 'Faxe', 'Guldborgsund', 'Slagelse', 'Holbæk', 'Ringsted', 'Vordingborg', 'Greve', 'Kalundborg', 'Lolland', 'Køge']"
efccda92-3272-443a-a474-a0721ee0cb51,Troels Jes Uldall Brandt,Troels Brandt,Radikale,Sjælland,"['Kalundborg', 'Roskilde', 'Greve', 'Næstved', 'Holbæk', 'Guldborgsund', 'Ringsted', 'Faxe', 'Køge', 'Lolland', 'Slagelse', 'Vordingborg']"
