parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,28.0,31.3
R,Radikale,5.4,4.0
K,Konservative,6.2,5.1
SF,SF,10.8,7.2
BP,Borgernes Parti,1.9,
LA,Liberal Alliance,10.5,9.5
M,Moderaterne,6.4,7.9
DF,Dansk Folkeparti,5.7,1.4
V,Venstre,11.9,14.8
ALT,Alternativet,1.8,2.5
DD,Danmarksdemokraterne,6.7,9.3
EL,Enhedslisten,4.8,4.1
