parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,15.9,21.8
R,Radikale,1.9,1.2
K,Konservative,6.1,6.6
SF,SF,8.0,4.8
BP,Borgernes Parti,2.7,
LA,Liberal Alliance,8.7,7.4
M,Moderaterne,4.7,6.7
DF,Dansk Folkeparti,6.2,1.9
UP,Udenfor parti,0.1,0.1
V,Venstre,20.5,26.0
ALT,Alternativet,0.9,1.0
DD,Danmarksdemokraterne,22.8,17.4
EL,Enhedslisten,1.5,1.4
