parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,10.6,24.1
Radikale Venstre,Radikale Venstre,3.7,
Det Konservative Folkeparti,Det Konservative Folkeparti,10.6,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,10.6,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,3.4,
LA,Liberal Alliance,12.6,8.2
M,Moderaterne,13.2,13.0
DF,Dansk Folkeparti,11.2,2.9
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",10.9,
ALT,Alternativet,2.9,3.5
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,5.7,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,4.3,
