parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,15.6,28.8
Radikale Venstre,Radikale Venstre,0.6,
Det Konservative Folkeparti,Det Konservative Folkeparti,3.4,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,4.1,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,6.1,
LA,Liberal Alliance,11.9,6.6
M,Moderaterne,5.0,8.1
DF,Dansk Folkeparti,16.4,3.4
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",20.3,
ALT,Alternativet,0.4,1.1
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,14.9,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,1.2,
