parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,26.2,30.3
R,Radikale,4.8,4.7
K,Konservative,5.5,4.9
SF,SF,14.0,10.5
BP,Borgernes Parti,1.6,
LA,Liberal Alliance,6.7,7.1
M,Moderaterne,5.8,9.6
DF,Dansk Folkeparti,9.1,2.1
V,Venstre,6.1,8.7
ALT,Alternativet,2.3,3.8
DD,Danmarksdemokraterne,2.8,4.4
EL,Enhedslisten,15.2,7.1
