parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,28.3,32.3
R,Radikale,3.0,3.6
K,Konservative,6.7,5.8
SF,SF,12.0,9.3
BP,Borgernes Parti,2.5,
LA,Liberal Alliance,8.6,7.4
M,Moderaterne,7.8,10.4
DF,Dansk Folkeparti,10.4,2.3
V,Venstre,9.5,10.9
ALT,Alternativet,1.8,3.1
DD,Danmarksdemokraterne,4.8,6.0
EL,Enhedslisten,4.5,5.2
