parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,14.5,17.3
R,Radikale,13.4,8.6
K,Konservative,11.2,5.7
SF,SF,12.3,11.3
BP,Borgernes Parti,0.6,
LA,Liberal Alliance,9.8,10.3
M,Moderaterne,9.8,11.1
DF,Dansk Folkeparti,4.2,1.2
UP,Udenfor parti,0.4,0.1
V,Venstre,4.3,9.8
ALT,Alternativet,5.9,9.0
DD,Danmarksdemokraterne,0.5,1.2
EL,Enhedslisten,13.0,11.5
