parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,24.4,33.1
R,Radikale,5.0,2.9
K,Konservative,11.6,6.3
SF,SF,10.6,7.9
BP,Borgernes Parti,1.4,
LA,Liberal Alliance,8.7,7.6
M,Moderaterne,10.6,10.1
DF,Dansk Folkeparti,13.0,4.0
UP,Udenfor parti,0.2,0.1
V,Venstre,4.8,10.7
ALT,Alternativet,2.3,2.7
DD,Danmarksdemokraterne,1.9,5.4
EL,Enhedslisten,5.3,4.4
