parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,19.9,24.5
R,Radikale,4.2,3.4
K,Konservative,6.9,5.6
SF,SF,10.1,7.3
BP,Borgernes Parti,2.0,
LA,Liberal Alliance,11.6,9.9
M,Moderaterne,8.9,11.0
DF,Dansk Folkeparti,10.0,2.7
V,Venstre,15.1,15.4
ALT,Alternativet,1.3,1.9
DD,Danmarksdemokraterne,5.0,8.7
EL,Enhedslisten,4.8,2.9
