parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,24.8,39.2
R,Radikale,1.6,1.0
K,Konservative,4.1,3.8
SF,SF,8.3,4.1
BP,Borgernes Parti,3.3,
LA,Liberal Alliance,8.1,5.8
M,Moderaterne,4.9,6.1
DF,Dansk Folkeparti,8.6,2.7
V,Venstre,13.3,12.6
ALT,Alternativet,0.8,0.9
DD,Danmarksdemokraterne,20.5,17.2
EL,Enhedslisten,1.7,1.8
