parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,23.4,36.1
Radikale Venstre,Radikale Venstre,2.2,
Det Konservative Folkeparti,Det Konservative Folkeparti,4.5,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,8.1,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,7.2,
LA,Liberal Alliance,10.6,5.6
M,Moderaterne,4.5,9.2
DF,Dansk Folkeparti,11.7,2.9
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",12.5,
ALT,Alternativet,0.6,1.7
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,12.8,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,1.9,
