parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,27.6,32.7
R,Radikale,2.0,1.2
K,Konservative,3.6,3.6
SF,SF,11.6,6.4
BP,Borgernes Parti,1.8,
LA,Liberal Alliance,5.2,3.7
M,Moderaterne,6.0,6.0
DF,Dansk Folkeparti,10.2,5.9
V,Venstre,18.6,19.7
ALT,Alternativet,2.4,3.0
DD,Danmarksdemokraterne,4.6,6.9
EL,Enhedslisten,6.4,6.0
