parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,21.7,28.9
R,Radikale,2.5,1.9
K,Konservative,5.4,4.7
SF,SF,11.5,9.6
BP,Borgernes Parti,3.4,
LA,Liberal Alliance,9.8,6.5
M,Moderaterne,8.5,10.9
DF,Dansk Folkeparti,17.9,4.5
V,Venstre,8.4,12.0
ALT,Alternativet,1.9,1.8
DD,Danmarksdemokraterne,5.9,10.5
EL,Enhedslisten,3.2,2.8
