parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,21.0,27.0
R,Radikale,3.3,3.1
K,Konservative,5.7,5.3
SF,SF,10.5,7.4
BP,Borgernes Parti,2.6,
LA,Liberal Alliance,12.3,9.0
M,Moderaterne,7.7,9.7
DF,Dansk Folkeparti,11.7,3.1
V,Venstre,14.4,14.5
ALT,Alternativet,1.3,1.6
DD,Danmarksdemokraterne,5.9,10.3
EL,Enhedslisten,3.4,2.6
