parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.2,25.0
R,Radikale,2.9,2.8
K,Konservative,6.6,4.9
SF,SF,10.7,14.0
BP,Borgernes Parti,3.1,
LA,Liberal Alliance,10.5,7.5
M,Moderaterne,9.9,11.6
DF,Dansk Folkeparti,15.6,3.4
V,Venstre,13.5,13.8
ALT,Alternativet,0.9,2.2
DD,Danmarksdemokraterne,5.8,7.1
EL,Enhedslisten,2.3,3.2
