parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,24.2,30.8
Radikale Venstre,Radikale Venstre,4.0,
Det Konservative Folkeparti,Det Konservative Folkeparti,2.4,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,12.9,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,0.8,
LA,Liberal Alliance,1.6,10.0
M,Moderaterne,8.9,9.2
DF,Dansk Folkeparti,6.5,2.7
UP,Udenfor parti,0.0,0.1
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",11.3,
ALT,Alternativet,6.5,1.9
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,11.3,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,9.7,
