parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,22.3,26.6
R,Radikale,5.6,3.5
K,Konservative,8.6,7.3
SF,SF,13.2,8.8
BP,Borgernes Parti,1.9,
LA,Liberal Alliance,11.0,9.0
M,Moderaterne,8.8,10.0
DF,Dansk Folkeparti,6.5,1.8
UP,Udenfor parti,0.0,0.2
V,Venstre,10.7,16.2
ALT,Alternativet,1.8,2.5
DD,Danmarksdemokraterne,4.9,6.5
EL,Enhedslisten,4.6,4.5
