parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,25.0,35.4
R,Radikale,2.0,1.5
K,Konservative,4.4,5.3
SF,SF,5.5,4.8
BP,Borgernes Parti,4.3,
LA,Liberal Alliance,8.2,5.9
M,Moderaterne,5.0,6.4
DF,Dansk Folkeparti,7.7,2.1
V,Venstre,14.5,13.6
ALT,Alternativet,1.1,1.2
DD,Danmarksdemokraterne,19.6,16.8
EL,Enhedslisten,2.8,2.6
