parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,24.3,31.2
R,Radikale,3.6,2.3
K,Konservative,4.7,3.8
SF,SF,13.7,11.7
BP,Borgernes Parti,2.8,
LA,Liberal Alliance,8.7,6.5
M,Moderaterne,8.9,10.9
DF,Dansk Folkeparti,13.1,3.6
V,Venstre,8.2,11.7
ALT,Alternativet,2.0,1.9
DD,Danmarksdemokraterne,5.2,7.6
EL,Enhedslisten,4.6,3.4
