parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,19.1,24.0
R,Radikale,1.8,1.5
K,Konservative,7.1,7.3
SF,SF,5.9,4.5
BP,Borgernes Parti,4.1,
LA,Liberal Alliance,9.5,8.1
M,Moderaterne,5.0,7.5
DF,Dansk Folkeparti,13.0,2.7
UP,Udenfor parti,0.0,0.1
V,Venstre,14.9,20.0
ALT,Alternativet,1.2,1.3
DD,Danmarksdemokraterne,16.0,17.0
EL,Enhedslisten,2.3,1.7
