parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,14.5,12.8
R,Radikale,12.4,6.8
K,Konservative,16.7,14.6
SF,SF,9.4,6.1
BP,Borgernes Parti,1.0,
LA,Liberal Alliance,10.3,14.4
M,Moderaterne,11.1,14.4
DF,Dansk Folkeparti,6.0,2.0
V,Venstre,8.3,16.8
ALT,Alternativet,3.5,3.8
DD,Danmarksdemokraterne,1.0,1.7
EL,Enhedslisten,5.9,4.0
