parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,16.8,20.9
R,Radikale,11.3,7.2
K,Konservative,7.8,4.2
SF,SF,14.6,12.1
BP,Borgernes Parti,1.0,
LA,Liberal Alliance,8.4,8.3
M,Moderaterne,7.8,9.6
DF,Dansk Folkeparti,6.4,1.7
UP,Udenfor parti,0.5,0.2
V,Venstre,3.4,8.1
ALT,Alternativet,6.3,9.3
DD,Danmarksdemokraterne,0.8,2.1
EL,Enhedslisten,14.9,12.8
