parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.7,43.6
Radikale Venstre,Radikale Venstre,0.0,
Det Konservative Folkeparti,Det Konservative Folkeparti,4.1,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,8.9,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,0.0,
LA,Liberal Alliance,4.1,3.7
M,Moderaterne,9.8,7.4
DF,Dansk Folkeparti,11.4,5.8
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",4.1,
ALT,Alternativet,6.5,1.1
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,28.5,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,4.1,
