parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,20.1,32.9
R,Radikale,2.6,2.1
K,Konservative,5.1,5.4
SF,SF,9.8,8.7
BP,Borgernes Parti,4.1,
LA,Liberal Alliance,11.7,7.0
M,Moderaterne,6.4,10.8
DF,Dansk Folkeparti,17.4,4.2
V,Venstre,8.9,10.9
ALT,Alternativet,2.3,1.6
DD,Danmarksdemokraterne,8.8,8.2
EL,Enhedslisten,2.8,2.9
