parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,29.4,36.0
R,Radikale,2.1,1.3
K,Konservative,4.2,3.7
SF,SF,7.4,4.5
BP,Borgernes Parti,3.0,
LA,Liberal Alliance,9.2,6.1
M,Moderaterne,4.6,5.8
DF,Dansk Folkeparti,7.8,2.3
V,Venstre,13.9,15.0
ALT,Alternativet,0.9,1.2
DD,Danmarksdemokraterne,15.2,18.0
EL,Enhedslisten,2.1,1.7
