parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,27.0,34.5
R,Radikale,2.8,1.8
K,Konservative,5.3,4.3
SF,SF,10.9,6.5
BP,Borgernes Parti,3.6,
LA,Liberal Alliance,8.6,5.2
M,Moderaterne,6.7,8.2
DF,Dansk Folkeparti,9.9,3.2
V,Venstre,12.7,15.5
ALT,Alternativet,1.8,2.0
DD,Danmarksdemokraterne,7.4,10.6
EL,Enhedslisten,3.3,2.8
