parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,22.6,28.7
R,Radikale,5.3,3.5
K,Konservative,10.0,6.3
SF,SF,11.4,7.4
BP,Borgernes Parti,2.9,
LA,Liberal Alliance,9.8,8.2
M,Moderaterne,7.0,8.4
DF,Dansk Folkeparti,7.7,2.3
UP,Udenfor parti,0.0,0.1
V,Venstre,10.8,15.1
ALT,Alternativet,1.9,2.1
DD,Danmarksdemokraterne,7.3,9.9
EL,Enhedslisten,3.4,3.1
