parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,17.6,23.7
R,Radikale,2.4,2.1
K,Konservative,5.5,6.9
SF,SF,6.2,5.5
BP,Borgernes Parti,3.7,
LA,Liberal Alliance,10.2,10.8
M,Moderaterne,4.2,8.5
DF,Dansk Folkeparti,8.8,2.2
UP,Udenfor parti,0.0,0.1
V,Venstre,19.4,20.3
ALT,Alternativet,0.6,1.3
DD,Danmarksdemokraterne,19.8,12.7
EL,Enhedslisten,1.6,2.3
