parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,26.4,33.5
R,Radikale,6.6,4.0
K,Konservative,7.0,5.1
SF,SF,13.3,10.1
BP,Borgernes Parti,1.9,
LA,Liberal Alliance,7.9,6.4
M,Moderaterne,7.6,9.8
DF,Dansk Folkeparti,12.1,4.1
V,Venstre,4.2,8.1
ALT,Alternativet,2.2,2.9
DD,Danmarksdemokraterne,1.7,4.2
EL,Enhedslisten,9.1,6.3
