parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.9,25.4
Radikale Venstre,Radikale Venstre,2.3,
Det Konservative Folkeparti,Det Konservative Folkeparti,3.1,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,8.3,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,4.4,
LA,Liberal Alliance,12.2,9.6
M,Moderaterne,7.3,9.0
DF,Dansk Folkeparti,8.3,2.7
UP,Udenfor parti,0.0,0.1
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",15.5,
ALT,Alternativet,1.0,1.2
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,15.5,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,3.1,
