parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,23.8,31.9
Radikale Venstre,Radikale Venstre,1.8,
Det Konservative Folkeparti,Det Konservative Folkeparti,1.8,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,10.8,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,4.9,
LA,Liberal Alliance,2.7,6.3
M,Moderaterne,6.3,9.9
DF,Dansk Folkeparti,13.5,3.9
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",12.6,
ALT,Alternativet,6.3,1.4
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,12.6,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,3.1,
