parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,15.8,25.4
Radikale Venstre,Radikale Venstre,1.1,
Det Konservative Folkeparti,Det Konservative Folkeparti,1.9,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,5.3,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,3.0,
LA,Liberal Alliance,8.4,7.3
M,Moderaterne,6.1,8.4
DF,Dansk Folkeparti,11.6,2.9
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",26.4,
ALT,Alternativet,1.0,1.0
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,18.4,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,1.0,
