parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,20.6,33.5
Radikale Venstre,Radikale Venstre,4.5,
Det Konservative Folkeparti,Det Konservative Folkeparti,2.9,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,16.3,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,3.3,
LA,Liberal Alliance,8.7,5.5
M,Moderaterne,8.7,11.6
DF,Dansk Folkeparti,12.4,4.3
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",5.2,
ALT,Alternativet,3.7,3.0
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,4.3,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,9.5,
