parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,26.1,33.1
R,Radikale,2.2,1.5
K,Konservative,6.0,5.1
SF,SF,6.6,4.9
BP,Borgernes Parti,3.1,
LA,Liberal Alliance,8.4,5.8
M,Moderaterne,4.1,5.3
DF,Dansk Folkeparti,6.8,1.8
V,Venstre,11.5,11.7
ALT,Alternativet,1.1,1.5
DD,Danmarksdemokraterne,22.0,23.4
EL,Enhedslisten,2.1,2.3
