parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,13.4,21.9
Radikale Venstre,Radikale Venstre,2.4,
Det Konservative Folkeparti,Det Konservative Folkeparti,2.8,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,8.4,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,4.8,
LA,Liberal Alliance,8.4,8.6
M,Moderaterne,2.4,7.3
DF,Dansk Folkeparti,10.3,1.9
UP,Udenfor parti,0.4,0.1
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",21.8,
ALT,Alternativet,0.9,1.0
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,21.7,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,2.4,
