parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,12.0,13.9
R,Radikale,14.5,8.6
K,Konservative,12.3,5.7
SF,SF,9.4,10.1
BP,Borgernes Parti,0.5,
LA,Liberal Alliance,11.8,11.3
M,Moderaterne,12.1,11.0
DF,Dansk Folkeparti,3.6,0.8
UP,Udenfor parti,0.3,0.2
V,Venstre,4.8,9.4
ALT,Alternativet,6.2,11.6
DD,Danmarksdemokraterne,0.4,1.0
EL,Enhedslisten,12.1,14.3
