parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.9,24.2
R,Radikale,9.8,6.3
K,Konservative,10.1,5.1
SF,SF,15.1,11.4
BP,Borgernes Parti,1.1,
LA,Liberal Alliance,9.6,9.9
M,Moderaterne,9.1,9.6
DF,Dansk Folkeparti,4.0,1.4
UP,Udenfor parti,0.0,0.1
V,Venstre,8.8,13.2
ALT,Alternativet,4.1,5.2
DD,Danmarksdemokraterne,1.8,3.7
EL,Enhedslisten,7.6,7.3
