parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,23.5,32.1
R,Radikale,2.6,1.7
K,Konservative,3.8,3.1
SF,SF,12.4,8.2
BP,Borgernes Parti,3.8,
LA,Liberal Alliance,7.3,5.0
M,Moderaterne,7.5,9.7
DF,Dansk Folkeparti,16.8,5.1
V,Venstre,8.6,12.4
ALT,Alternativet,2.2,2.0
DD,Danmarksdemokraterne,7.4,10.5
EL,Enhedslisten,3.9,3.4
