parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,24.6,34.8
R,Radikale,7.7,3.6
K,Konservative,7.4,4.6
SF,SF,16.1,9.2
BP,Borgernes Parti,1.7,
LA,Liberal Alliance,6.7,6.7
M,Moderaterne,7.9,10.0
DF,Dansk Folkeparti,9.7,4.4
V,Venstre,5.0,9.5
ALT,Alternativet,3.8,2.7
DD,Danmarksdemokraterne,1.2,4.6
EL,Enhedslisten,8.1,4.6
