parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,20.3,25.3
R,Radikale,3.8,2.7
K,Konservative,6.8,5.1
SF,SF,10.2,7.3
BP,Borgernes Parti,2.0,
LA,Liberal Alliance,11.5,9.6
M,Moderaterne,10.8,13.1
DF,Dansk Folkeparti,15.2,3.9
V,Venstre,11.3,18.6
ALT,Alternativet,1.2,1.3
DD,Danmarksdemokraterne,2.8,6.1
EL,Enhedslisten,4.1,2.1
