parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,21.5,27.2
R,Radikale,2.4,1.9
K,Konservative,10.0,15.4
SF,SF,9.5,8.4
BP,Borgernes Parti,3.3,
LA,Liberal Alliance,9.7,6.6
M,Moderaterne,5.1,5.9
DF,Dansk Folkeparti,7.2,1.8
UP,Udenfor parti,0.4,0.1
V,Venstre,11.3,13.6
ALT,Alternativet,1.6,2.0
DD,Danmarksdemokraterne,15.6,11.0
EL,Enhedslisten,2.4,2.9
