parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.2,30.6
R,Radikale,1.6,1.8
K,Konservative,3.2,4.3
SF,SF,4.8,4.9
BP,Borgernes Parti,6.0,
LA,Liberal Alliance,10.1,6.3
M,Moderaterne,3.8,8.3
DF,Dansk Folkeparti,19.4,3.6
V,Venstre,19.1,16.8
ALT,Alternativet,0.5,1.4
DD,Danmarksdemokraterne,12.7,11.4
EL,Enhedslisten,0.6,2.5
