parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,25.4,31.0
R,Radikale,8.4,4.1
K,Konservative,6.3,7.0
SF,SF,14.4,10.2
BP,Borgernes Parti,1.8,
LA,Liberal Alliance,5.8,5.9
M,Moderaterne,6.4,8.5
DF,Dansk Folkeparti,11.8,4.3
V,Venstre,3.4,7.7
ALT,Alternativet,2.3,2.3
DD,Danmarksdemokraterne,2.2,5.1
EL,Enhedslisten,11.7,6.1
