parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,17.1,33.4
Radikale Venstre,Radikale Venstre,4.3,
Det Konservative Folkeparti,Det Konservative Folkeparti,5.7,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,15.7,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,1.4,
LA,Liberal Alliance,5.7,5.1
M,Moderaterne,10.0,9.5
DF,Dansk Folkeparti,5.7,2.9
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",20.0,
ALT,Alternativet,4.3,2.4
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,5.7,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,4.3,
