parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,15.8,20.4
R,Radikale,12.4,7.1
K,Konservative,13.1,8.9
SF,SF,11.9,9.8
BP,Borgernes Parti,0.6,
LA,Liberal Alliance,9.2,9.2
M,Moderaterne,9.0,10.0
DF,Dansk Folkeparti,4.8,1.6
UP,Udenfor parti,0.4,0.2
V,Venstre,5.0,10.7
ALT,Alternativet,5.2,6.6
DD,Danmarksdemokraterne,0.6,2.0
EL,Enhedslisten,12.1,10.5
