parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,17.0,23.1
R,Radikale,10.8,6.7
K,Konservative,7.8,4.2
SF,SF,15.3,13.5
BP,Borgernes Parti,0.8,
LA,Liberal Alliance,6.3,6.4
M,Moderaterne,6.9,8.2
DF,Dansk Folkeparti,6.1,2.0
UP,Udenfor parti,0.4,0.2
V,Venstre,3.2,7.3
ALT,Alternativet,6.1,7.6
DD,Danmarksdemokraterne,0.8,2.1
EL,Enhedslisten,18.5,13.2
