parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.3,25.0
R,Radikale,3.8,4.7
K,Konservative,10.1,5.4
SF,SF,13.3,12.5
BP,Borgernes Parti,2.2,
LA,Liberal Alliance,11.3,8.6
M,Moderaterne,9.2,12.8
DF,Dansk Folkeparti,13.9,2.6
V,Venstre,7.9,12.3
ALT,Alternativet,2.1,3.1
DD,Danmarksdemokraterne,3.8,4.6
EL,Enhedslisten,4.0,5.1
