parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,24.2,36.5
R,Radikale,1.4,1.9
K,Konservative,2.7,3.4
SF,SF,7.6,6.1
BP,Borgernes Parti,6.4,
LA,Liberal Alliance,9.5,8.1
M,Moderaterne,4.2,6.3
DF,Dansk Folkeparti,10.9,3.4
UP,Udenfor parti,0.1,0.1
V,Venstre,8.5,13.2
ALT,Alternativet,1.7,1.5
DD,Danmarksdemokraterne,20.7,10.9
EL,Enhedslisten,2.1,3.1
