parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,25.0,34.5
R,Radikale,1.8,1.2
K,Konservative,3.1,4.0
SF,SF,5.9,3.9
BP,Borgernes Parti,3.3,
LA,Liberal Alliance,10.7,5.6
M,Moderaterne,3.9,5.4
DF,Dansk Folkeparti,6.2,2.0
V,Venstre,14.6,16.5
ALT,Alternativet,1.6,1.8
DD,Danmarksdemokraterne,21.0,19.3
EL,Enhedslisten,3.0,2.3
