parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,30.3,38.6
R,Radikale,1.2,0.9
K,Konservative,3.4,4.0
SF,SF,9.2,6.6
BP,Borgernes Parti,2.3,
LA,Liberal Alliance,4.8,3.6
M,Moderaterne,5.6,6.2
DF,Dansk Folkeparti,12.7,6.7
V,Venstre,17.8,18.1
ALT,Alternativet,1.4,2.4
DD,Danmarksdemokraterne,6.3,6.0
EL,Enhedslisten,4.9,4.4
