parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,20.4,28.5
R,Radikale,3.9,2.6
K,Konservative,7.0,6.9
SF,SF,12.9,9.8
BP,Borgernes Parti,2.7,
LA,Liberal Alliance,8.6,6.2
M,Moderaterne,8.5,10.5
DF,Dansk Folkeparti,13.4,3.6
V,Venstre,9.1,12.3
ALT,Alternativet,2.6,2.3
DD,Danmarksdemokraterne,5.6,8.3
EL,Enhedslisten,5.2,3.5
