parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,25.1,36.3
R,Radikale,1.2,1.3
K,Konservative,5.8,3.9
SF,SF,10.7,8.2
BP,Borgernes Parti,3.8,
LA,Liberal Alliance,6.8,4.5
M,Moderaterne,6.7,9.2
DF,Dansk Folkeparti,16.5,8.8
V,Venstre,7.7,10.2
ALT,Alternativet,1.2,1.4
DD,Danmarksdemokraterne,11.0,8.8
EL,Enhedslisten,3.6,3.0
